Datetime,Close,High,Low,Open,Volume
2025-01-02 14:30:00+00:00,111.26,112.20,111.00,111.70,1129222
2025-01-02 15:30:00+00:00,110.98,111.42,110.66,111.25,663073
2025-01-02 16:30:00+00:00,110.76,111.41,110.72,110.97,494990
2025-01-02 17:30:00+00:00,110.43,110.73,110.17,110.72,484120
2025-01-02 18:30:00+00:00,110.73,110.74,110.17,110.42,440190
2025-01-02 19:30:00+00:00,110.97,111.06,110.53,110.69,557416
2025-01-02 20:30:00+00:00,110.83,111.09,110.70,110.99,813178
2025-01-03 14:30:00+00:00,110.93,111.54,110.18,111.37,826988
2025-01-03 15:30:00+00:00,111.20,111.21,110.79,110.92,531916
2025-01-03 16:30:00+00:00,111.12,111.36,111.07,111.20,400737
2025-01-03 17:30:00+00:00,111.13,111.26,110.89,111.13,383252
2025-01-03 18:30:00+00:00,111.19,111.23,110.97,111.13,393431
2025-01-03 19:30:00+00:00,111.26,111.27,111.05,111.19,347216
2025-01-03 20:30:00+00:00,111.15,111.25,110.98,111.24,638906
2025-01-06 14:30:00+00:00,112.31,112.62,111.44,111.47,1389541
2025-01-06 15:30:00+00:00,112.37,112.85,112.11,112.32,616886
2025-01-06 16:30:00+00:00,112.59,112.82,112.08,112.37,528878
2025-01-06 17:30:00+00:00,112.20,112.61,112.03,112.58,438709
2025-01-06 18:30:00+00:00,111.51,112.20,111.43,112.20,489044
2025-01-06 19:30:00+00:00,111.26,111.59,111.10,111.50,558695
2025-01-06 20:30:00+00:00,111.06,111.42,110.87,111.25,840077
2025-01-07 14:30:00+00:00,112.31,113.74,111.83,112.15,2024104
2025-01-07 15:30:00+00:00,112.25,112.45,111.68,112.32,694513
2025-01-07 16:30:00+00:00,111.86,112.44,111.73,112.23,731281
2025-01-07 17:30:00+00:00,111.82,111.98,111.53,111.83,701713
2025-01-07 18:30:00+00:00,112.02,112.33,111.63,111.82,566152
2025-01-07 19:30:00+00:00,111.54,112.01,111.51,112.01,651277
2025-01-07 20:30:00+00:00,111.41,111.60,111.29,111.55,772699
2025-01-08 14:30:00+00:00,109.67,111.11,109.62,111.00,1241814
2025-01-08 15:30:00+00:00,109.24,109.95,109.09,109.68,964728
2025-01-08 16:30:00+00:00,108.68,109.43,108.67,109.25,778154
2025-01-08 17:30:00+00:00,109.74,109.90,108.64,108.70,729602
2025-01-08 18:30:00+00:00,110.11,110.18,109.30,109.72,494660
2025-01-08 19:30:00+00:00,109.77,110.10,109.63,110.10,496565
2025-01-08 20:30:00+00:00,109.75,109.83,109.60,109.78,894547
2025-01-10 14:30:00+00:00,108.26,110.54,107.62,110.00,2127644
2025-01-10 15:30:00+00:00,108.32,108.37,107.81,108.27,808601
2025-01-10 16:30:00+00:00,108.70,108.75,108.19,108.32,618689
2025-01-10 17:30:00+00:00,109.29,109.39,108.67,108.70,705473
2025-01-10 18:30:00+00:00,109.17,109.50,108.96,109.31,632526
2025-01-10 19:30:00+00:00,108.70,109.27,108.55,109.18,674643
2025-01-10 20:30:00+00:00,108.64,108.76,108.23,108.69,992863
2025-01-13 14:30:00+00:00,107.98,108.61,107.75,107.93,951006
2025-01-13 15:30:00+00:00,107.36,108.39,107.28,107.99,722979
2025-01-13 16:30:00+00:00,107.28,107.41,106.72,107.36,640980
2025-01-13 17:30:00+00:00,107.37,107.49,107.18,107.27,391368
2025-01-13 18:30:00+00:00,107.90,107.92,107.37,107.37,481480
2025-01-13 19:30:00+00:00,107.82,107.96,107.69,107.89,540701
2025-01-13 20:30:00+00:00,108.06,108.14,107.78,107.80,797017
2025-01-14 14:30:00+00:00,108.15,108.96,108.10,108.68,814178
2025-01-14 15:30:00+00:00,108.27,108.46,107.92,108.16,815244
2025-01-14 16:30:00+00:00,108.29,108.54,108.15,108.29,626017
2025-01-14 17:30:00+00:00,108.21,108.48,107.97,108.28,392124
2025-01-14 18:30:00+00:00,108.20,108.46,108.17,108.19,339963
2025-01-14 19:30:00+00:00,108.06,108.28,107.61,108.19,573417
2025-01-14 20:30:00+00:00,108.13,108.13,107.87,108.07,728924
2025-01-15 14:30:00+00:00,108.89,109.60,108.81,109.25,902443
2025-01-15 15:30:00+00:00,108.66,109.03,108.50,108.90,606764
2025-01-15 16:30:00+00:00,108.67,108.75,108.40,108.64,487128
2025-01-15 17:30:00+00:00,108.63,108.87,108.47,108.69,360946
2025-01-15 18:30:00+00:00,108.56,108.67,108.39,108.64,478901
2025-01-15 19:30:00+00:00,108.25,108.66,108.14,108.56,569000
2025-01-15 20:30:00+00:00,108.16,108.39,107.99,108.25,930473
2025-01-16 14:30:00+00:00,107.29,108.60,106.92,108.29,1435895
2025-01-16 15:30:00+00:00,107.29,107.44,106.85,107.30,740969
2025-01-16 16:30:00+00:00,107.42,107.59,107.16,107.29,606812
2025-01-16 17:30:00+00:00,107.20,107.54,107.19,107.42,481185
2025-01-16 18:30:00+00:00,106.58,107.23,106.54,107.17,967659
2025-01-16 19:30:00+00:00,106.20,106.60,106.16,106.59,922830
2025-01-16 20:30:00+00:00,106.47,106.60,106.17,106.19,999829
2025-01-17 14:30:00+00:00,107.66,107.74,106.54,106.83,2303749
2025-01-17 15:30:00+00:00,107.49,107.67,107.27,107.66,611008
2025-01-17 16:30:00+00:00,107.39,107.63,107.32,107.49,573880
2025-01-17 17:30:00+00:00,107.27,107.47,107.27,107.40,481969
2025-01-17 18:30:00+00:00,107.34,107.47,107.17,107.26,518456
2025-01-17 19:30:00+00:00,107.27,107.41,107.21,107.33,570281
2025-01-17 20:30:00+00:00,107.04,107.34,107.00,107.27,881081
2025-01-21 14:30:00+00:00,108.06,108.08,106.80,107.10,1402667
2025-01-21 15:30:00+00:00,108.71,108.75,107.92,108.06,778014
2025-01-21 16:30:00+00:00,109.15,109.18,108.42,108.71,986681
2025-01-21 17:30:00+00:00,109.09,109.45,109.00,109.14,807396
2025-01-21 18:30:00+00:00,108.86,109.22,108.81,109.10,583422
2025-01-21 19:30:00+00:00,108.89,108.90,108.66,108.86,592349
2025-01-21 20:30:00+00:00,108.71,108.99,108.65,108.89,917313
2025-01-22 14:30:00+00:00,108.93,109.55,108.23,109.55,1534417
2025-01-22 15:30:00+00:00,109.00,109.28,108.72,108.90,1035628
2025-01-22 16:30:00+00:00,108.62,109.28,108.51,109.00,732248
