Datetime,Close,High,Low,Open,Volume
2025-01-02 09:00:00+00:00,240.24,240.68,239.75,239.75,0
2025-01-02 10:00:00+00:00,240.85,240.93,240.43,240.59,0
2025-01-02 11:00:00+00:00,240.96,241.39,240.50,240.75,0
2025-01-02 12:00:00+00:00,241.98,242.12,240.96,240.96,0
2025-01-02 13:00:00+00:00,241.40,243.98,239.71,241.98,0
2025-01-02 14:00:00+00:00,241.16,241.80,240.58,240.58,0
2025-01-02 14:30:00+00:00,241.45,243.28,240.29,240.92,1432017
2025-01-02 15:30:00+00:00,241.91,242.34,240.55,241.38,749693
2025-01-02 16:30:00+00:00,240.83,242.62,240.82,241.89,555029
2025-01-02 17:30:00+00:00,240.16,240.91,239.51,240.83,609144
2025-01-02 18:30:00+00:00,240.46,240.54,239.45,240.16,624054
2025-01-02 19:30:00+00:00,241.32,241.60,239.87,240.41,695961
2025-01-02 20:30:00+00:00,239.99,241.42,239.93,241.39,1208444
2025-01-02 21:00:00+00:00,240.44,240.96,239.53,240.00,0
2025-01-02 22:00:00+00:00,240.50,240.96,240.00,240.96,0
2025-01-02 23:00:00+00:00,240.85,241.75,240.00,240.50,0
2025-01-03 09:00:00+00:00,242.33,242.33,241.66,241.91,0
2025-01-03 10:00:00+00:00,242.08,243.00,242.08,242.33,0
2025-01-03 11:00:00+00:00,242.07,242.09,241.72,242.09,0
2025-01-03 12:00:00+00:00,241.94,242.74,241.79,242.07,0
2025-01-03 13:00:00+00:00,241.94,242.98,240.00,241.97,0
2025-01-03 14:00:00+00:00,241.97,242.00,241.82,241.96,0
2025-01-03 14:30:00+00:00,241.02,244.88,240.26,243.89,1752450
2025-01-03 15:30:00+00:00,241.54,242.15,240.62,240.99,910911
2025-01-03 16:30:00+00:00,241.34,242.06,241.30,241.54,649692
2025-01-03 17:30:00+00:00,241.46,241.78,241.01,241.38,687795
2025-01-03 18:30:00+00:00,241.53,241.96,241.26,241.48,596862
2025-01-03 19:30:00+00:00,242.62,242.65,241.37,241.52,824378
2025-01-03 20:30:00+00:00,243.28,243.40,242.47,242.64,1120475
2025-01-03 21:00:00+00:00,243.17,243.45,240.00,243.28,0
2025-01-03 22:00:00+00:00,243.30,243.45,243.02,243.24,0
2025-01-03 23:00:00+00:00,243.44,243.44,243.02,243.02,0
2025-01-06 09:00:00+00:00,243.30,243.68,243.02,243.35,0
2025-01-06 10:00:00+00:00,243.59,243.66,243.21,243.32,0
2025-01-06 11:00:00+00:00,243.29,243.44,242.85,243.44,0
2025-01-06 12:00:00+00:00,243.51,243.66,243.22,243.36,0
2025-01-06 13:00:00+00:00,243.91,244.25,242.27,243.54,0
2025-01-06 14:00:00+00:00,244.24,244.34,242.03,243.80,0
2025-01-06 14:30:00+00:00,243.50,245.01,240.84,243.70,2174948
2025-01-06 15:30:00+00:00,244.55,244.61,241.77,243.51,1260755
2025-01-06 16:30:00+00:00,244.02,245.69,243.88,244.55,1010426
2025-01-06 17:30:00+00:00,243.18,244.05,242.59,244.00,701351
2025-01-06 18:30:00+00:00,241.93,243.19,241.79,243.17,677438
2025-01-06 19:30:00+00:00,241.51,242.14,240.90,241.94,865587
2025-01-06 20:30:00+00:00,240.97,241.79,240.58,241.54,1083847
2025-01-06 21:00:00+00:00,241.04,241.53,240.75,240.98,0
2025-01-06 22:00:00+00:00,241.08,241.10,225.10,241.04,0
2025-01-06 23:00:00+00:00,241.34,242.00,241.00,241.00,0
2025-01-07 09:00:00+00:00,241.30,242.48,241.15,242.33,0
2025-01-07 10:00:00+00:00,241.20,241.87,241.01,241.17,0
2025-01-07 11:00:00+00:00,241.76,241.80,241.20,241.24,0
2025-01-07 12:00:00+00:00,241.80,241.89,241.60,241.60,0
2025-01-07 13:00:00+00:00,241.80,242.44,240.57,241.89,0
2025-01-07 14:00:00+00:00,242.16,242.44,240.85,241.90,0
2025-01-07 14:30:00+00:00,243.53,244.14,240.90,242.14,1792261
2025-01-07 15:30:00+00:00,244.82,245.12,242.57,243.52,1183671
2025-01-07 16:30:00+00:00,244.64,245.23,244.18,244.86,994428
2025-01-07 17:30:00+00:00,244.88,245.26,244.32,244.63,732643
2025-01-07 18:30:00+00:00,243.97,245.00,243.75,244.87,632384
2025-01-07 19:30:00+00:00,242.54,244.16,242.45,243.98,852475
2025-01-07 20:30:00+00:00,243.23,243.30,242.37,242.57,847570
2025-01-07 21:00:00+00:00,243.25,243.31,231.19,243.23,0
2025-01-07 22:00:00+00:00,242.71,244.00,231.19,243.24,0
2025-01-07 23:00:00+00:00,243.13,244.85,241.40,243.06,0
2025-01-08 09:00:00+00:00,243.47,244.81,243.47,244.47,0
2025-01-08 10:00:00+00:00,243.82,243.85,243.34,243.37,0
2025-01-08 11:00:00+00:00,243.39,243.80,243.19,243.65,0
2025-01-08 12:00:00+00:00,241.60,243.29,241.60,243.18,0
2025-01-08 13:00:00+00:00,242.80,244.55,241.34,241.61,0
2025-01-08 14:00:00+00:00,243.35,243.54,242.55,242.55,0
2025-01-08 14:30:00+00:00,240.67,244.25,240.50,242.75,1828023
2025-01-08 15:30:00+00:00,242.23,242.35,240.61,240.77,836090
2025-01-08 16:30:00+00:00,241.96,243.00,241.82,242.29,986933
2025-01-08 17:30:00+00:00,242.59,242.82,241.84,241.96,507023
2025-01-08 18:30:00+00:00,242.90,243.28,242.14,242.59,656782
2025-01-08 19:30:00+00:00,243.01,243.17,242.25,242.81,605900
2025-01-08 20:30:00+00:00,243.04,243.42,242.78,243.01,1006574
2025-01-08 21:00:00+00:00,243.11,243.90,243.00,243.13,0
2025-01-08 22:00:00+00:00,243.20,243.71,242.04,243.12,0
2025-01-08 23:00:00+00:00,243.65,243.99,242.00,243.20,0
2025-01-10 09:00:00+00:00,242.06,243.66,241.97,243.31,0
2025-01-10 10:00:00+00:00,242.46,242.59,242.10,242.55,0
2025-01-10 11:00:00+00:00,242.58,242.58,242.36,242.46,0
2025-01-10 12:00:00+00:00,242.87,242.87,242.46,242.58,0
2025-01-10 13:00:00+00:00,242.04,243.54,242.00,242.87,0
2025-01-10 14:00:00+00:00,241.30,242.43,240.13,242.36,0
2025-01-10 14:30:00+00:00,241.04,243.81,239.40,243.09,2613827
2025-01-10 15:30:00+00:00,239.61,241.39,239.25,241.00,1181838
2025-01-10 16:30:00+00:00,239.64,239.92,238.74,239.60,704452
2025-01-10 17:30:00+00:00,240.95,241.22,239.43,239.63,604744
2025-01-10 18:30:00+00:00,240.18,241.35,240.08,240.88,691297
