Datetime,Close,High,Low,Open,Volume
2025-01-02 14:30:00+00:00,245.74,249.10,244.80,248.93,13501229
2025-01-02 15:30:00+00:00,244.90,245.88,244.16,245.63,6830782
2025-01-02 16:30:00+00:00,243.43,245.25,243.32,244.91,4384552
2025-01-02 17:30:00+00:00,242.69,243.41,242.31,243.41,6464462
2025-01-02 18:30:00+00:00,242.49,242.84,241.82,242.67,5547977
2025-01-02 19:30:00+00:00,243.23,243.44,241.87,242.48,5106418
2025-01-02 20:30:00+00:00,243.82,243.95,243.01,243.25,6023491
2025-01-03 14:30:00+00:00,242.46,244.18,241.89,242.88,9135529
2025-01-03 15:30:00+00:00,243.49,243.68,242.14,242.45,4968036
2025-01-03 16:30:00+00:00,242.77,244.05,242.67,243.48,3673389
2025-01-03 17:30:00+00:00,243.01,243.16,242.28,242.78,3313371
2025-01-03 18:30:00+00:00,242.67,243.06,242.57,243.00,3130427
2025-01-03 19:30:00+00:00,242.85,243.44,242.64,242.66,3007142
2025-01-03 20:30:00+00:00,243.30,243.60,242.61,242.84,4381782
2025-01-06 14:30:00+00:00,245.55,246.18,243.84,244.33,10577599
2025-01-06 15:30:00+00:00,246.74,247.33,245.33,245.54,5006800
2025-01-06 16:30:00+00:00,245.77,246.76,245.70,246.76,3354093
2025-01-06 17:30:00+00:00,245.03,245.87,244.48,245.76,3070077
2025-01-06 18:30:00+00:00,244.98,245.18,244.60,245.03,2065770
2025-01-06 19:30:00+00:00,244.90,245.13,244.43,244.98,2306175
2025-01-06 20:30:00+00:00,245.00,245.34,244.42,244.91,3773029
2025-01-07 14:30:00+00:00,245.39,245.55,242.83,242.98,8173530
2025-01-07 15:30:00+00:00,243.77,245.32,243.71,245.14,4154915
2025-01-07 16:30:00+00:00,242.39,245.00,242.14,243.74,4446679
2025-01-07 17:30:00+00:00,243.16,243.41,241.36,242.40,3448950
2025-01-07 18:30:00+00:00,242.46,243.18,242.07,243.15,2577768
2025-01-07 19:30:00+00:00,242.01,242.49,241.75,242.45,2681979
2025-01-07 20:30:00+00:00,242.19,242.40,241.54,242.02,4772501
2025-01-08 14:30:00+00:00,242.41,242.87,240.05,241.97,7170550
2025-01-08 15:30:00+00:00,242.71,243.71,242.09,242.39,4154228
2025-01-08 16:30:00+00:00,241.37,243.58,241.24,242.73,3009958
2025-01-08 17:30:00+00:00,242.35,242.51,241.20,241.36,2612848
2025-01-08 18:30:00+00:00,242.79,242.98,241.04,242.35,2761227
2025-01-08 19:30:00+00:00,242.38,242.72,241.70,242.70,2452219
2025-01-08 20:30:00+00:00,242.72,242.99,241.80,242.38,3573432
2025-01-10 14:30:00+00:00,237.43,240.15,235.80,239.96,13137403
2025-01-10 15:30:00+00:00,233.77,237.43,233.50,237.42,8427975
2025-01-10 16:30:00+00:00,235.57,235.90,233.00,233.77,7179671
2025-01-10 17:30:00+00:00,237.12,237.34,235.07,235.54,3958571
2025-01-10 18:30:00+00:00,236.83,237.59,236.41,237.12,3175363
2025-01-10 19:30:00+00:00,235.99,236.88,235.75,236.84,3580665
2025-01-10 20:30:00+00:00,236.93,237.29,235.77,235.99,5097626
2025-01-13 14:30:00+00:00,230.38,233.59,229.72,233.50,13314474
2025-01-13 15:30:00+00:00,230.73,231.80,230.22,230.38,5357189
2025-01-13 16:30:00+00:00,232.32,232.53,230.40,230.73,4160495
2025-01-13 17:30:00+00:00,233.38,233.43,231.98,232.29,2920622
2025-01-13 18:30:00+00:00,233.56,233.97,233.25,233.38,2678525
2025-01-13 19:30:00+00:00,233.68,234.20,233.37,233.55,3290938
2025-01-13 20:30:00+00:00,234.40,234.67,233.65,233.69,4579852
2025-01-14 14:30:00+00:00,235.61,236.12,234.26,234.75,6863540
2025-01-14 15:30:00+00:00,234.21,235.97,234.13,235.60,3836690
2025-01-14 16:30:00+00:00,233.32,234.48,232.85,234.19,3080840
2025-01-14 17:30:00+00:00,234.02,234.12,232.65,233.31,2179055
2025-01-14 18:30:00+00:00,234.26,234.92,233.72,234.04,2448410
2025-01-14 19:30:00+00:00,233.29,234.65,232.47,234.25,3619972
2025-01-14 20:30:00+00:00,233.28,233.44,232.54,233.28,4851942
2025-01-15 14:30:00+00:00,237.92,238.39,234.43,234.64,8599650
2025-01-15 15:30:00+00:00,237.40,238.54,237.31,237.96,3705014
2025-01-15 16:30:00+00:00,237.12,237.58,236.50,237.40,2959584
2025-01-15 17:30:00+00:00,237.53,237.74,236.97,237.12,2206504
2025-01-15 18:30:00+00:00,237.56,237.76,237.26,237.52,1908254
2025-01-15 19:30:00+00:00,237.62,238.03,237.52,237.58,2782086
2025-01-15 20:30:00+00:00,237.85,238.47,237.39,237.62,4684385
2025-01-16 14:30:00+00:00,232.82,238.01,232.71,237.49,10445774
2025-01-16 15:30:00+00:00,230.59,233.02,230.16,232.80,11066513
2025-01-16 16:30:00+00:00,230.92,231.10,229.75,230.60,8412063
2025-01-16 17:30:00+00:00,229.19,231.20,229.07,230.92,6223224
2025-01-16 18:30:00+00:00,229.18,229.40,228.56,229.18,5844721
2025-01-16 19:30:00+00:00,229.02,230.07,228.90,229.18,6469586
2025-01-16 20:30:00+00:00,228.24,229.29,228.03,229.01,9428473
2025-01-17 14:30:00+00:00,230.38,232.29,229.72,231.31,25704386
2025-01-17 15:30:00+00:00,231.28,231.65,230.35,230.40,6641037
2025-01-17 16:30:00+00:00,230.26,231.32,229.49,231.29,5636022
2025-01-17 17:30:00+00:00,229.91,230.44,229.89,230.26,3639355
2025-01-17 18:30:00+00:00,229.18,229.95,228.48,229.91,4996598
2025-01-17 19:30:00+00:00,229.44,229.77,229.08,229.18,4408697
2025-01-17 20:30:00+00:00,229.99,230.02,229.23,229.44,5430152
2025-01-21 14:30:00+00:00,221.77,224.42,220.80,224.00,25254424
2025-01-21 15:30:00+00:00,220.11,222.09,219.70,221.77,13429826
2025-01-21 16:30:00+00:00,220.36,220.77,219.38,220.09,9451785
2025-01-21 17:30:00+00:00,220.40,221.07,220.01,220.36,6315018
2025-01-21 18:30:00+00:00,221.61,221.69,220.37,220.40,6914968
2025-01-21 19:30:00+00:00,221.65,221.67,220.31,221.60,7105466
2025-01-21 20:30:00+00:00,222.66,222.78,221.34,221.64,7242328
2025-01-22 14:30:00+00:00,221.63,223.35,219.80,219.94,16298662
2025-01-22 15:30:00+00:00,222.86,223.08,221.55,221.63,6740287
2025-01-22 16:30:00+00:00,222.57,222.93,221.70,222.86,5094747
2025-01-22 17:30:00+00:00,222.12,222.85,222.01,222.57,3954228
2025-01-22 18:30:00+00:00,222.75,222.87,221.91,222.13,3384532
2025-01-22 19:30:00+00:00,223.35,223.60,222.42,222.75,5606510
2025-01-22 20:30:00+00:00,223.77,223.98,223.06,223.37,5027611
2025-01-23 14:30:00+00:00,225.97,227.03,224.39,224.73,14316012
2025-01-23 15:30:00+00:00,225.18,226.37,224.38,225.96,6661602
2025-01-23 16:30:00+00:00,223.57,225.20,223.39,225.16,5267365
2025-01-23 17:30:00+00:00,223.55,223.78,223.19,223.57,5083443
2025-01-23 18:30:00+00:00,222.80,223.63,222.43,223.56,4117821
2025-01-23 19:30:00+00:00,222.88,223.17,222.57,222.81,4096781
2025-01-23 20:30:00+00:00,223.65,223.65,222.30,222.87,6903829
2025-01-24 14:30:00+00:00,222.73,225.63,222.53,224.98,15246196
2025-01-24 15:30:00+00:00,222.76,223.37,222.35,222.74,6090500
2025-01-24 16:30:00+00:00,222.28,223.49,222.14,222.77,5067407
2025-01-24 17:30:00+00:00,222.16,222.72,221.95,222.28,3586687
2025-01-24 18:30:00+00:00,222.37,222.55,221.92,222.14,2912495
2025-01-24 19:30:00+00:00,222.32,222.93,221.41,222.35,4686564
2025-01-24 20:30:00+00:00,222.79,223.04,222.20,222.32,5237044
2025-01-27 14:30:00+00:00,227.29,227.70,224.00,224.03,22895716
2025-01-27 15:30:00+00:00,228.49,228.83,227.09,227.30,9565070
2025-01-27 16:30:00+00:00,230.09,230.14,228.18,228.47,8523755
2025-01-27 17:30:00+00:00,231.32,231.38,229.81,230.09,6766052
2025-01-27 18:30:00+00:00,232.03,232.15,230.99,231.30,7080439
2025-01-27 19:30:00+00:00,230.68,232.03,230.14,232.03,9415488
2025-01-27 20:30:00+00:00,229.94,231.38,228.48,230.70,10815158
2025-01-28 14:30:00+00:00,237.64,237.79,230.88,230.88,21113721
2025-01-28 15:30:00+00:00,239.08,239.45,237.63,237.65,12275716
2025-01-28 16:30:00+00:00,238.55,240.19,238.20,239.06,8384418
2025-01-28 17:30:00+00:00,238.74,239.25,238.24,238.55,3770424
2025-01-28 18:30:00+00:00,238.82,239.10,238.59,238.77,3369693
2025-01-28 19:30:00+00:00,238.84,239.48,238.31,238.82,4877201
2025-01-28 20:30:00+00:00,238.24,238.98,237.76,238.88,5143611
2025-01-29 14:30:00+00:00,236.83,237.13,234.52,235.00,11611110
2025-01-29 15:30:00+00:00,236.52,238.00,236.43,236.81,4857419
2025-01-29 16:30:00+00:00,236.87,237.22,236.13,236.53,4055486
2025-01-29 17:30:00+00:00,237.43,237.43,235.46,236.87,3400271
2025-01-29 18:30:00+00:00,236.45,237.66,236.31,237.45,2765958
2025-01-29 19:30:00+00:00,239.05,239.24,236.35,236.44,4886187
2025-01-29 20:30:00+00:00,239.35,239.85,238.72,239.06,5064524
2025-01-30 14:30:00+00:00,238.46,240.79,238.09,238.66,8800925
2025-01-30 15:30:00+00:00,238.16,239.03,237.21,238.46,6211686
2025-01-30 16:30:00+00:00,238.03,238.88,237.81,238.18,3222220
2025-01-30 17:30:00+00:00,238.45,238.77,237.90,238.03,2683972
2025-01-30 18:30:00+00:00,239.25,239.67,238.44,238.44,3360211
2025-01-30 19:30:00+00:00,239.58,240.05,239.21,239.25,4799123
2025-01-30 20:30:00+00:00,237.56,239.85,237.24,239.58,6836079
2025-01-31 14:30:00+00:00,240.94,247.19,240.55,247.04,27334395
2025-01-31 15:30:00+00:00,238.95,241.43,238.59,240.90,10162823
2025-01-31 16:30:00+00:00,239.74,240.05,238.74,238.97,6222938
2025-01-31 17:30:00+00:00,236.43,239.80,236.22,239.75,7822078
2025-01-31 18:30:00+00:00,235.13,236.86,234.47,236.43,7380314
2025-01-31 19:30:00+00:00,234.29,235.28,233.44,235.15,7945570
2025-01-31 20:30:00+00:00,235.86,236.50,233.74,234.31,8379858
2025-02-03 14:30:00+00:00,229.26,231.83,226.63,229.44,21198249
2025-02-03 15:30:00+00:00,226.42,229.82,226.08,229.26,10347971
2025-02-03 16:30:00+00:00,226.37,227.13,225.71,226.41,7067637
2025-02-03 17:30:00+00:00,226.90,227.07,225.95,226.36,4952072
2025-02-03 18:30:00+00:00,228.47,228.85,226.89,226.91,5283668
2025-02-03 19:30:00+00:00,228.55,229.21,228.32,228.48,4499030
2025-02-03 20:30:00+00:00,227.98,228.97,227.63,228.57,5648751
2025-02-04 14:30:00+00:00,230.37,230.41,226.65,227.20,11635605
2025-02-04 15:30:00+00:00,231.05,231.55,230.12,230.38,5363016
2025-02-04 16:30:00+00:00,231.78,232.79,231.05,231.06,5207796
2025-02-04 17:30:00+00:00,232.22,232.38,231.39,231.79,3095970
2025-02-04 18:30:00+00:00,232.14,232.36,231.38,232.23,2286596
2025-02-04 19:30:00+00:00,232.31,232.95,232.13,232.14,3344618
2025-02-04 20:30:00+00:00,232.79,233.13,232.03,232.29,3490884
2025-02-05 14:30:00+00:00,229.50,230.60,228.30,228.49,9950114
2025-02-05 15:30:00+00:00,230.09,230.20,228.85,229.51,3447904
2025-02-05 16:30:00+00:00,230.69,231.28,229.99,230.09,2916112
2025-02-05 17:30:00+00:00,229.91,230.75,229.63,230.68,2376195
2025-02-05 18:30:00+00:00,230.65,231.53,229.71,229.90,3043271
2025-02-05 19:30:00+00:00,231.79,231.87,230.50,230.64,2871834
2025-02-05 20:30:00+00:00,232.46,232.67,231.11,231.78,3443025
2025-02-06 14:30:00+00:00,231.54,233.80,230.78,231.34,6919081
2025-02-06 15:30:00+00:00,231.51,232.33,230.43,231.59,3599406
2025-02-06 16:30:00+00:00,231.33,231.63,230.90,231.51,2213517
2025-02-06 17:30:00+00:00,232.19,232.34,231.03,231.35,2393555
2025-02-06 18:30:00+00:00,232.87,233.11,232.08,232.19,1818718
2025-02-06 19:30:00+00:00,232.28,232.89,231.90,232.89,2205672
2025-02-06 20:30:00+00:00,233.22,233.28,231.93,232.29,3111368
2025-02-07 14:30:00+00:00,230.39,234.00,229.88,232.51,7814805
2025-02-07 15:30:00+00:00,229.05,231.27,228.90,230.34,5664232
2025-02-07 16:30:00+00:00,228.40,229.42,228.20,229.09,3763438
2025-02-07 17:30:00+00:00,229.30,229.44,228.36,228.39,3721234
2025-02-07 18:30:00+00:00,227.88,229.50,227.83,229.29,2602577
2025-02-07 19:30:00+00:00,228.00,228.58,227.79,227.89,2965606
2025-02-07 20:30:00+00:00,227.71,228.15,227.26,227.99,5030649
2025-02-10 14:30:00+00:00,229.87,230.59,228.80,229.57,6362641
2025-02-10 15:30:00+00:00,229.36,229.91,228.74,229.89,3755966
2025-02-10 16:30:00+00:00,228.47,229.38,228.24,229.37,2474012
2025-02-10 17:30:00+00:00,228.47,228.88,228.37,228.47,2457578
2025-02-10 18:30:00+00:00,228.70,229.04,228.40,228.49,1724663
2025-02-10 19:30:00+00:00,227.69,228.84,227.60,228.70,2971076
2025-02-10 20:30:00+00:00,227.64,227.88,227.20,227.70,3507517
2025-02-11 14:30:00+00:00,233.34,233.49,228.13,228.20,16450165
2025-02-11 15:30:00+00:00,234.65,234.72,232.82,233.32,7044159
2025-02-11 16:30:00+00:00,234.57,235.23,233.72,234.66,5739199
2025-02-11 17:30:00+00:00,233.54,234.62,233.25,234.59,3044227
2025-02-11 18:30:00+00:00,233.37,234.19,233.13,233.60,2813907
2025-02-11 19:30:00+00:00,233.11,233.93,232.90,233.36,3713179
2025-02-11 20:30:00+00:00,232.77,233.30,232.17,233.11,4614482
2025-02-12 14:30:00+00:00,233.60,234.05,230.68,231.27,11363398
2025-02-12 15:30:00+00:00,235.07,235.14,233.58,233.58,5460408
2025-02-12 16:30:00+00:00,235.29,235.66,234.73,235.07,3522413
2025-02-12 17:30:00+00:00,235.48,235.89,234.86,235.27,2818998
2025-02-12 18:30:00+00:00,236.21,236.42,235.32,235.47,3035921
2025-02-12 19:30:00+00:00,236.46,236.66,236.07,236.21,3343068
2025-02-12 20:30:00+00:00,236.89,236.96,235.91,236.46,4493778
2025-02-13 14:30:00+00:00,237.88,239.00,235.57,236.98,9839880
2025-02-13 15:30:00+00:00,240.48,241.61,237.73,237.90,8943032
2025-02-13 16:30:00+00:00,240.35,240.84,239.82,240.49,3794251
2025-02-13 17:30:00+00:00,241.03,241.35,240.19,240.35,3188980
2025-02-13 18:30:00+00:00,241.77,242.07,240.53,241.04,3761997
2025-02-13 19:30:00+00:00,241.54,242.34,241.26,241.75,3704786
2025-02-13 20:30:00+00:00,241.52,241.77,241.01,241.54,4257382
2025-02-14 14:30:00+00:00,244.38,245.05,241.00,241.07,11286651
2025-02-14 15:30:00+00:00,243.95,244.38,243.16,244.38,4923421
2025-02-14 16:30:00+00:00,243.82,244.53,243.69,243.94,4178251
2025-02-14 17:30:00+00:00,244.00,244.31,243.34,243.82,2425988
2025-02-14 18:30:00+00:00,244.15,244.54,243.94,243.98,1978801
2025-02-14 19:30:00+00:00,244.10,244.37,243.91,244.14,2427820
2025-02-14 20:30:00+00:00,244.57,245.41,243.91,244.08,4882408
2025-02-18 14:30:00+00:00,244.09,245.18,242.86,243.91,10825110
2025-02-18 15:30:00+00:00,244.73,244.97,243.94,244.08,3159856
2025-02-18 16:30:00+00:00,244.43,245.05,244.18,244.72,3072601
2025-02-18 17:30:00+00:00,243.43,244.50,243.25,244.45,2653024
2025-02-18 18:30:00+00:00,243.05,243.48,241.84,243.43,3303217
2025-02-18 19:30:00+00:00,243.52,243.84,242.98,243.05,2923310
2025-02-18 20:30:00+00:00,244.47,244.60,243.15,243.53,4972578
2025-02-19 14:30:00+00:00,243.94,246.01,243.79,244.61,7953912
2025-02-19 15:30:00+00:00,244.40,244.49,243.16,243.93,3875842
2025-02-19 16:30:00+00:00,245.15,245.65,244.03,244.39,3328518
2025-02-19 17:30:00+00:00,244.71,245.28,244.23,245.14,1965036
2025-02-19 18:30:00+00:00,244.90,245.19,244.22,244.71,2025071
2025-02-19 19:30:00+00:00,244.88,245.17,244.45,244.90,2676277
2025-02-19 20:30:00+00:00,244.88,245.09,244.54,244.88,2963614
2025-02-20 14:30:00+00:00,244.74,246.78,244.29,244.97,7059474
2025-02-20 15:30:00+00:00,246.13,246.70,244.59,244.74,4286584
2025-02-20 16:30:00+00:00,246.38,246.46,245.03,246.12,4072175
2025-02-20 17:30:00+00:00,245.45,246.41,245.16,246.37,2248069
2025-02-20 18:30:00+00:00,245.26,245.58,245.02,245.44,1791583
2025-02-20 19:30:00+00:00,245.62,245.75,244.85,245.25,2339026
2025-02-20 20:30:00+00:00,245.86,246.00,245.36,245.61,3152476
2025-02-21 14:30:00+00:00,245.79,246.94,245.22,245.96,8207297
2025-02-21 15:30:00+00:00,247.13,247.45,245.22,245.77,5440754
2025-02-21 16:30:00+00:00,247.37,247.65,246.65,247.15,4700950
2025-02-21 17:30:00+00:00,247.44,248.69,247.10,247.38,6864397
2025-02-21 18:30:00+00:00,246.49,248.08,246.43,247.45,4986285
2025-02-21 19:30:00+00:00,245.80,246.82,245.39,246.51,7827784
2025-02-21 20:30:00+00:00,245.59,246.09,245.33,245.82,5597978
2025-02-24 14:30:00+00:00,247.85,248.86,244.59,246.12,13193734
2025-02-24 15:30:00+00:00,247.11,247.95,246.01,247.85,6815696
2025-02-24 16:30:00+00:00,247.79,248.32,247.12,247.12,3637316
2025-02-24 17:30:00+00:00,248.05,248.14,247.22,247.82,2550281
2025-02-24 18:30:00+00:00,248.66,248.80,247.67,248.05,4364229
2025-02-24 19:30:00+00:00,247.61,248.75,247.43,248.66,3655325
2025-02-24 20:30:00+00:00,247.23,247.79,246.82,247.60,4975763
2025-02-25 14:30:00+00:00,245.11,249.52,244.91,248.00,12543414
2025-02-25 15:30:00+00:00,246.52,246.87,244.91,245.13,4912736
2025-02-25 16:30:00+00:00,249.58,249.98,246.43,246.54,6711698
2025-02-25 17:30:00+00:00,247.98,249.62,247.73,249.58,3191684
2025-02-25 18:30:00+00:00,247.67,248.62,247.16,247.97,3236285
2025-02-25 19:30:00+00:00,247.72,248.59,247.55,247.64,3408426
2025-02-25 20:30:00+00:00,247.05,247.77,246.04,247.73,4291190
2025-02-26 14:30:00+00:00,243.48,244.98,241.42,244.33,11922325
2025-02-26 15:30:00+00:00,241.81,243.72,241.58,243.49,4844532
2025-02-26 16:30:00+00:00,243.13,243.89,241.75,241.80,3260739
2025-02-26 17:30:00+00:00,240.34,243.29,240.24,243.14,4011307
2025-02-26 18:30:00+00:00,239.82,240.39,239.13,240.34,4096351
2025-02-26 19:30:00+00:00,239.95,240.45,239.53,239.81,3160834
2025-02-26 20:30:00+00:00,240.31,240.71,239.68,239.96,4066395
2025-02-27 14:30:00+00:00,241.38,242.28,238.47,239.35,11860928
2025-02-27 15:30:00+00:00,241.52,242.46,240.64,241.36,3314596
2025-02-27 16:30:00+00:00,241.06,241.78,239.59,241.52,2483584
2025-02-27 17:30:00+00:00,241.90,242.18,240.36,241.13,2123940
2025-02-27 18:30:00+00:00,240.63,242.05,240.52,241.93,2376630
2025-02-27 19:30:00+00:00,238.92,240.66,238.77,240.65,4411625
2025-02-27 20:30:00+00:00,237.38,239.37,237.10,238.96,5981830
2025-02-28 14:30:00+00:00,237.60,237.80,234.51,236.95,9707088
2025-02-28 15:30:00+00:00,236.92,237.83,236.49,237.58,3856963
2025-02-28 16:30:00+00:00,237.60,237.75,236.55,236.87,2652791
2025-02-28 17:30:00+00:00,237.41,237.90,236.23,237.69,3253563
2025-02-28 18:30:00+00:00,237.92,238.31,237.01,237.40,3040911
2025-02-28 19:30:00+00:00,239.71,239.78,237.70,237.88,4607390
2025-02-28 20:30:00+00:00,241.84,242.09,238.81,239.69,7654870
2025-03-03 14:30:00+00:00,241.49,244.03,239.82,241.72,10137001
2025-03-03 15:30:00+00:00,241.19,242.63,241.13,241.50,3962348
