Datetime,Close,High,Low,Open,Volume
2025-01-02 14:30:00+00:00,136.98,138.37,134.63,136.40,57155225
2025-01-02 15:30:00+00:00,137.92,138.07,136.41,136.98,22385014
2025-01-02 16:30:00+00:00,137.01,138.88,136.91,137.92,22996889
2025-01-02 17:30:00+00:00,136.37,137.01,135.16,137.00,23813747
2025-01-02 18:30:00+00:00,137.30,137.36,135.53,136.35,15287714
2025-01-02 19:30:00+00:00,137.91,138.04,136.65,137.29,16465639
2025-01-02 20:30:00+00:00,138.28,138.63,137.31,137.93,14882303
2025-01-03 14:30:00+00:00,143.11,144.22,139.77,140.02,79451070
2025-01-03 15:30:00+00:00,143.46,143.72,142.75,143.12,27317067
2025-01-03 16:30:00+00:00,143.68,144.13,143.18,143.47,19087152
2025-01-03 17:30:00+00:00,144.50,144.74,143.64,143.69,20329289
2025-01-03 18:30:00+00:00,144.37,144.90,143.82,144.50,19539730
2025-01-03 19:30:00+00:00,144.32,144.55,144.04,144.37,15989401
2025-01-03 20:30:00+00:00,144.59,144.72,144.06,144.30,17801822
2025-01-06 14:30:00+00:00,151.53,151.70,148.10,148.56,91209338
2025-01-06 15:30:00+00:00,151.89,152.16,151.04,151.52,34157939
2025-01-06 16:30:00+00:00,151.31,151.92,150.89,151.88,21844568
2025-01-06 17:30:00+00:00,151.68,151.85,150.81,151.30,19322484
2025-01-06 18:30:00+00:00,150.29,151.84,149.66,151.67,23113785
2025-01-06 19:30:00+00:00,150.52,150.62,149.37,150.30,18639381
2025-01-06 20:30:00+00:00,149.51,150.83,148.26,150.52,25098803
2025-01-07 14:30:00+00:00,143.79,152.36,143.73,152.20,115634781
2025-01-07 15:30:00+00:00,142.77,143.13,140.44,142.92,80981326
2025-01-07 16:30:00+00:00,141.43,149.43,141.12,142.76,32583750
2025-01-07 17:30:00+00:00,143.12,143.45,141.31,141.43,23029395
2025-01-07 18:30:00+00:00,141.64,143.17,141.40,143.11,18605910
2025-01-07 19:30:00+00:00,140.60,141.66,140.44,141.65,24935062
2025-01-07 20:30:00+00:00,140.12,141.30,140.01,140.61,25410017
2025-01-08 14:30:00+00:00,140.59,143.95,139.43,142.66,79113578
2025-01-08 15:30:00+00:00,140.03,141.50,139.43,140.58,27638578
2025-01-08 16:30:00+00:00,138.13,140.85,138.03,140.04,21229554
2025-01-08 17:30:00+00:00,140.62,140.85,137.89,138.14,22854066
2025-01-08 18:30:00+00:00,140.71,141.02,139.57,140.62,21783866
2025-01-08 19:30:00+00:00,140.00,140.70,139.70,140.70,15800747
2025-01-08 20:30:00+00:00,140.06,140.27,139.78,139.98,12892815
2025-01-10 14:30:00+00:00,136.15,137.68,134.22,137.37,71482682
2025-01-10 15:30:00+00:00,135.62,137.42,135.12,136.16,30235066
2025-01-10 16:30:00+00:00,136.17,136.20,135.00,135.61,19282492
2025-01-10 17:30:00+00:00,136.53,136.90,136.10,136.16,15418478
2025-01-10 18:30:00+00:00,136.24,137.11,135.77,136.52,15407385
2025-01-10 19:30:00+00:00,135.65,136.47,135.42,136.23,14690719
2025-01-10 20:30:00+00:00,135.86,136.13,135.42,135.64,13963294
2025-01-13 14:30:00+00:00,130.75,132.61,129.63,131.61,78759504
2025-01-13 15:30:00+00:00,131.63,133.11,130.72,130.72,27363869
2025-01-13 16:30:00+00:00,132.63,132.84,131.14,131.63,19761358
2025-01-13 17:30:00+00:00,132.51,132.91,131.96,132.63,13032729
2025-01-13 18:30:00+00:00,132.29,132.63,131.57,132.52,13159817
2025-01-13 19:30:00+00:00,132.19,132.64,131.94,132.30,14548338
2025-01-13 20:30:00+00:00,133.24,133.49,132.16,132.20,14212783
2025-01-14 14:30:00+00:00,132.56,136.38,132.51,136.06,56314616
2025-01-14 15:30:00+00:00,130.98,132.95,130.32,132.56,37323371
2025-01-14 16:30:00+00:00,131.13,131.24,130.45,130.99,16714373
2025-01-14 17:30:00+00:00,131.66,131.79,130.58,131.13,14111137
2025-01-14 18:30:00+00:00,131.71,132.36,131.46,131.66,16793453
2025-01-14 19:30:00+00:00,130.80,132.04,130.05,131.71,21614619
2025-01-14 20:30:00+00:00,131.85,131.85,130.46,130.79,15064220
2025-01-15 14:30:00+00:00,134.20,134.55,131.29,133.63,53514058
2025-01-15 15:30:00+00:00,134.39,135.59,133.94,134.21,28196095
2025-01-15 16:30:00+00:00,134.88,134.91,133.49,134.38,18294033
2025-01-15 17:30:00+00:00,135.52,135.75,134.86,134.88,17977109
2025-01-15 18:30:00+00:00,135.94,135.97,135.12,135.53,12270239
2025-01-15 19:30:00+00:00,136.07,136.24,135.26,135.94,15108793
2025-01-15 20:30:00+00:00,136.20,136.43,135.71,136.06,14667621
2025-01-16 14:30:00+00:00,137.20,138.70,136.29,137.50,59855103
